,IATA,ICAO,Airport name,Location served,Time,DST
18,AAS,,Apalapsili Airport,"Apalapsili, Indonesia",UTC+09:00,
40,ABP,,Atkamba Airport,"Atkamba, Papua New Guinea",UTC+10:00,
47,ABW,,Abau Airport,"Abau, Papua New Guinea",UTC+10:00,
60,ACL,,Aguaclara Airport,"Aguaclara, Colombia",UTC−05:00,
61,ACM,,Arica Airport,"Arica, Colombia",UTC−05:00,
67,ACU,,Achutupo Airport,"Achutupo, Panama",UTC−05:00,
93,ADV,,Ed Daein Airport,"Ed Daein, Sudan",UTC+03:00,
100,AEE,,Adareil Airport[1],"Adareil, South Sudan",UTC+03:00,
108,AEQ,,Ar Horqin Airport,"Ar Horqin Banner, China",UTC+08:00,
119,AFK,,Kondavattavan Tank Seaplane Base[1],"Ampara, Sri Lanka",UTC+05:30,
135,AGG,,Angoram Airport,"Angoram, Papua New Guinea",UTC+10:00,
139,AGK,,Kagua Airport,"Kagua, Papua New Guinea",UTC+10:00,
150,AGW,,Agnew Airport,"Agnew, Queensland, Australia",UTC+10:00,
155,AHD,,Ardmore Downtown Executive Airport (FAA: 1F0),"Ardmore, Oklahoma, United States",UTC−06:00,Mar-Nov
157,AHF,,Arapahoe Municipal Airport (FAA: 37V),"Arapahoe, Nebraska, United States",UTC−06:00,Mar-Nov
162,AHM,,Ashland Municipal Airport[1] (FAA: S03),"Ashland, Oregon, United States",UTC−08:00,Mar-Nov
167,AHW,,Saih Rawl Airport[1],"Saih Rawl, Oman",UTC+04:00,
168,AHY,,Ambatolahy Airport,"Ambatolahy, Madagascar",UTC+03:00,
171,AIC,,Ailinglaplap Airok Airport,"Airok, Ailinglaplap Atoll, Marshall Islands",UTC+12:00,
179,AIL,,Ailigandí Airport,"Ailigandí, Panama",UTC−05:00,
180,AIM,,Ailuk Airport,"Ailuk Atoll, Marshall Islands",UTC+12:00,
189,AIW,,Ai-Ais Airport,"Ai-Ais, Namibia",UTC+02:00,Sep-Apr
214,AKM,,Zakouma Airport,"Zakouma National Park, Chad",UTC+01:00,
231,ALE,,Alpine–Casparis Municipal Airport (FAA: E38),"Alpine, Texas, United States",UTC−06:00,Mar-Nov
237,ALK,,Asella Airport,"Asella, Ethiopia",UTC+03:00,
246,ALT,,Alenquer Airport,"Alenquer, Pará, Brazil",UTC−03:00,
251,ALZ,,Alitak Seaplane Base,"Lazy Bay, Alaska, United States",UTC−09:00,Mar-Nov
256,AME,,Alto Molocue Airport,"Alto Molocue, Mozambique",UTC+02:00,
258,AMG,,Amboin Airport,"Amboin, Papua New Guinea",UTC+10:00,
262,AMK,,Animas Air Park (FAA: 00C),"Durango, Colorado, United States",UTC−07:00,Mar-Nov
263,AML,,Puerto Armuelles Airport,"Puerto Armuelles, Panama",UTC−05:00,
274,AMX,,Ammaroo Airport,"Ammaroo, Northern Territory, Australia",UTC+09:30,
275,AMY,,Ambatomainty Airport,"Ambatomainty, Madagascar",UTC+03:00,
287,ANL,,Andulo Airport,"Andulo, Angola",UTC+01:00,
300,ANZ,,Angus Downs Airport,"Angus Downs, Northern Territory, Australia",UTC+09:30,
301,AOA,,Aroa Airport,"Aroa, Papua New Guinea",UTC+10:00,
302,AOB,,Annanberg Airport,"Annanberg, Papua New Guinea",UTC+10:00,
304,AOD,,Abou-Deïa Airport,"Abou-Deïa, Chad",UTC+01:00,
312,AOM,,Adam Airport[1],"Adam, Oman",UTC+04:00,
313,AON,,Arona Airport,"Arona, Papua New Guinea",UTC+10:00,
315,AOP,,Alférez FAP Alfredo Vladimir Sara Bauer Airport,"Andoas, Peru",UTC−05:00,
317,AOS,,Amook Bay Seaplane Base (FAA: AK81),"Amook Bay, Alaska, United States",UTC−09:00,Mar-Nov
331,APP,,Asapa Airport,"Asapa, Papua New Guinea",UTC+10:00,
347,AQM,,Ariquemes Airport,"Ariquemes, Rondônia, Brazil",UTC−04:00,
349,AQS,,Saqani Airport,"Saqani, Fiji",UTC+12:00,Nov-Jan
350,AQY,,Girdwood Airport[1],"Girdwood, Alaska, United States",UTC−09:00,Mar-Nov
356,ARF,,Acaricuara Airport,"Acaricuara, Colombia",UTC−05:00,
365,ARO,,Arboletes Airport,"Arboletes, Colombia",UTC−05:00,
366,ARP,,Aragip Airport,"Aragip, Papua New Guinea",UTC+10:00,
393,ASQ,,Austin Airport (FAA: 9U3),"Austin, Nevada, United States",UTC−08:00,Mar-Nov
401,ASZ,,Asirim Airport,"Asirim, Papua New Guinea",UTC+10:00,
406,ATE,,Antlers Municipal Airport (FAA: 80F),"Antlers, Oklahoma, United States",UTC−06:00,Mar-Nov
408,ATG,,PAF Base Minhas,"Attock, Pakistan",UTC+05:00,
421,ATT,,Atmautluak Airport (FAA: 4A2),"Atmautluak, Alaska, United States",UTC−09:00,Mar-Nov
425,ATX,,Atbasar Airport,"Atbasar, Kazakhstan",UTC+06:00,
431,AUE,,Abu Rudeis Airport,"Abou Redis, Egypt",UTC+02:00,
437,AUK,,Alakanuk Airport,"Alakanuk, Alaska, United States",UTC−09:00,Mar-Nov
438,AUL,,Aur Airport,"Aur Atoll, Marshall Islands",UTC+12:00,
469,AWE,,Alowe Airport,"Alowe, Gabon",UTC+01:00,
472,AWN,,Alton Downs Airport,"Alton Downs, South Australia, Australia",UTC+09:30,Oct-Apr
473,AWP,,Austral Downs Airport,"Austral Downs, Northern Territory, Australia",UTC+09:30,
474,AWR,,Awar Airport,"Awar, Papua New Guinea",UTC+10:00,
477,AXB,,Maxson Airfield (FAA: 89N),"Alexandria Bay, New York, United States",UTC−05:00,Mar-Nov
480,AXE,,Xanxere Airport,"Xanxerê, Santa Catarina, Brazil",UTC−03:00,
481,AXF,,Alxa Left Banner Bayanhot Airport,"Alxa Left Banner, Inner Mongolia, China",UTC+08:00,
485,AXL,,Alexandria Airport,"Alexandria Station, Northern Territory, Australia",UTC+09:30,
495,AYA,,Ayapel Airport,"Ayapel, Colombia",UTC−05:00,
496,AYC,,Ayacucho Airport,"Ayacucho, Colombia",UTC−05:00,
497,AYD,,Alroy Downs Airport,"Alroy Downs, Northern Territory, Australia",UTC+09:30,
499,AYI,,Yari Airport,"Yari, Colombia",UTC−05:00,
501,AYL,,Anthony Lagoon Airport,"Anthony Lagoon, Northern Territory, Australia",UTC+09:30,
502,AYM,,Yas Island Seaplane Base[1],"Yas Island, Abu Dhabi, United Arab Emirates",UTC+04:00,
513,AYY,,Arugam Bay Seaplane Base[1],"Pottuvil, Sri Lanka",UTC+05:30,
515,AZB,,Amazon Bay Airport,"Amazon Bay, Papua New Guinea",UTC+10:00,
517,AZG,,Pablo L. Sidar Airport,"Apatzingán, Michoacán, Mexico",UTC−06:00,Apr-Oct
525,AZT,,Zapatoca Airport,"Zapatoca, Colombia",UTC−05:00,
529,BAC,,Barranca de Upia Airport,"Barranca de Upía, Colombia",UTC−05:00,
536,BAJ,,Bali Airport,"Bali, Papua New Guinea",UTC+10:00,
537,BAK[1],,metropolitan area2,"Baku, Azerbaijan",UTC+04:00,
541,BAP,,Baibara Airport,"Baibara, Papua New Guinea",UTC+10:00,
543,BAR,,Qionghai Bo'ao Airport,"Qionghai, Hainan, China",UTC+08:00,
547,BAW,,Biawonque Airport,"Biawonque, Gabon",UTC+01:00,
577,BCC,,Bear Creek 3 Airport (FAA: Z48),"Bear Creek, Alaska, United States",UTC−09:00,Mar-Nov
581,BCG,,Bemichi Airport,"Kumaka, Guyana",UTC−04:00,
590,BCQ,,Brak Airport,"Brak, Libya",UTC+02:00,
592,BCS,,Southern Seaplane Airport (FAA: 65LA),"Belle Chasse, Louisiana, United States",UTC−06:00,Mar-Nov
594,BCU,,Bauchi State Airport,"Bauchi, Nigeria",UTC+01:00,
595,BCV,,Hector Silva Airstrip,"Belmopan, Belize",UTC−06:00,
596,BCW,,Benguerra Island Airport,"Benguerra Island, Mozambique",UTC+02:00,
